u;g;r;i;z;specobjid;redshift;plate;mjd;class
1926163;1771671;1712826;1689513;1679474;328000000000000000000000;-0.000233312;2909;54653;STAR
1872794;1720167;1665129;1643697;16.32;328000000000000000000000;-0.000133688;2909;54653;STAR
1924336;1786197;1730386;1706635;1694732;330000000000000000000000;-0.000180286;2934;54626;STAR
1957003;173458;1640484;1605693;158713;330000000000000000000000;-0.00015097;2934;54626;STAR
1949442;1799958;1741921;1721484;1710793;328000000000000000000000;-0.000134868;2909;54653;STAR
1903802;1742171;1671644;1641698;1623746;33000000000000000000000;7.80E-05;2934;54626;STAR
1875202;1790223;1758861;1745896;1741188;328000000000000000000000;-0.00052212;2909;54653;STAR
1943955;1852889;1824026;1813412;1805673;453000000000000000000000;-0.000247798;4022;55352;STAR
187746;1764604;1722892;1707624;1701672;34600000000000000000000;4.98E-05;307;51663;STAR
1798792;164793;1589139;1568964;1557897;328000000000000000000000;-9.23E-05;2909;54653;STAR
1821947;1694176;164855;1634868;1628067;330000000000000000000000;9.98E-05;2934;54626;STAR
1872254;1738212;1682234;1665747;1655055;328000000000000000000000;-1.00E-05;2909;54653;STAR
1788442;1696119;1664287;1653269;1648384;330000000000000000000000;3.19E-05;2934;54626;STAR
1860544;1767091;1741983;1732616;172992;328000000000000000000000;-0.000504086;2909;54653;STAR
1759142;1666143;1642614;1634742;1632363;328000000000000000000000;-0.000743644;2909;54653;STAR
1700244;1555892;1493361;1458515;1432871;34700000000000000000000;0.02873155;308;51662;GALAXY
1951547;1858734;1833786;1823523;1824343;330000000000000000000000;0.000255486;2934;54626;STAR
1925605;1811174;1734868;1693481;1668558;34700000000000000000000;0.1098084;308;51662;GALAXY
1752671;1610266;155727;1535048;1524569;328000000000000000000000;0.000836224;2909;54653;STAR
1804508;1681564;1639389;1624002;1618995;328000000000000000000000;0.000249663;2909;54653;STAR
1743719;1650009;1613932;1601473;1595873;328000000000000000000000;0.000166582;2909;54653;STAR
1626559;1531763;1503526;1492372;1486764;328000000000000000000000;0.000397916;2909;54653;STAR
1714242;1563551;1502396;1478998;1465014;328000000000000000000000;-0.000196452;2909;54653;STAR
1818575;1691729;1698115;1701807;1702806;328000000000000000000000;-0.000381969;2909;54653;STAR
1923104;1820884;1789136;1778259;1775736;330000000000000000000000;0.000249086;2934;54626;STAR
1933756;170609;1605876;1567662;1544594;330000000000000000000000;2.57E-05;2934;54626;STAR
1876614;1747334;1693288;1672206;1660205;330000000000000000000000;-9.47E-05;2934;54626;STAR
182921;1717186;1738653;175653;176834;328000000000000000000000;-0.000177157;2909;54653;STAR
1937555;1827386;177944;1760329;1750417;328000000000000000000000;-0.000211658;2909;54653;STAR
1937035;1734262;1635286;15924;1558903;534000000000000000000000;0.1019929;4745;55892;GALAXY
1905249;1703777;1607633;1563148;1531245;53400000000000000000000;0.1015328;4745;55892;GALAXY
1820631;1689692;1646658;1631574;1628902;232000000000000000000000;0.00048813;2057;53816;STAR
1763113;1655926;1624861;1614775;1613221;234000000000000000000000;0.000132041;2077;53846;STAR
1599172;1498865;1470003;1464919;1450626;232000000000000000000000;9.27E-05;2057;53816;STAR
1937706;1844093;1824528;1819469;1817668;234000000000000000000000;0.000452989;2077;53846;STAR
1673877;1568268;1543654;1538572;1540208;232000000000000000000000;0.000128369;2057;53816;STAR
1637119;1528426;1505225;1498734;150114;232000000000000000000000;5.72E-05;2057;53816;STAR
1952481;1821796;1768045;1746177;1737293;232000000000000000000000;1.72E-05;2057;53816;STAR
186522;1752927;1753732;1758253;1767018;232000000000000000000000;-0.000242254;2057;53816;STAR
1663293;1527509;1461367;1450841;1427292;232000000000000000000000;-5.54E-05;2057;53816;STAR
1614538;1507947;1484144;1477282;1478681;232000000000000000000000;0.000239212;2057;53816;STAR
1784565;1682412;1649827;1638742;1635545;232000000000000000000000;0.000146998;2057;53816;STAR
1775484;1659773;1653687;1656253;1661154;232000000000000000000000;-7.06E-06;2057;53816;STAR
193623;181918;1781977;1769313;1761249;129000000000000000000000;0.000235469;1149;53003;STAR
1897095;1707911;1613754;1565789;1534548;539000000000000000000000;0.06836422;4788;55889;GALAXY
1648326;1504494;1504021;1429518;1418345;23200000000000000000000;0.000224322;2057;53816;STAR
1898689;1709758;1618773;157323;1546169;539000000000000000000000;0.09046602;4788;55889;GALAXY
1942591;1842443;1800135;1779079;1770945;839000000000000000000000;0.000104138;7450;56722;STAR
1858476;172945;1642206;1627426;1589856;839000000000000000000000;0.000391139;7450;56722;STAR
1944881;1706147;1609691;1575754;1558153;839000000000000000000000;0.000127138;7450;56722;STAR
1958554;1776914;1691808;1655439;1634465;839000000000000000000000;9.15E-05;7450;56722;STAR
1958684;1773149;1696642;1667645;164914;839000000000000000000000;0.00034609;7450;56722;STAR
1942571;1778678;1711364;1685967;1667854;839000000000000000000000;0.000182417;7450;56722;STAR
1836269;1679013;1616286;1591035;1578032;839000000000000000000000;0.000170339;7450;56722;STAR
1911461;1711108;1635578;1607985;1594747;839000000000000000000000;0.000258839;7451;56739;STAR
1925602;177522;1728004;1711725;1712696;839000000000000000000000;0.000270987;7451;56739;STAR
1868312;1680078;1612189;1588605;1578726;83900000000000000000000;0.000208869;7451;56739;STAR
1913375;1784091;1737001;1720419;171407;83900000000000000000000;0.000275159;7451;56739;STAR
1941101;1717151;1617792;1578271;1551502;839000000000000000000000;0.000391232;7451;56739;STAR
1917278;1730439;1663581;1643598;1635109;839000000000000000000000;-6.64E-05;7451;56739;STAR
1929697;1808211;1720792;1674347;1643762;39000000000000000000000;0.1272051;346;51693;GALAXY
1871962;1745311;1688231;1654723;162756;39000000000000000000000;0.06540032;346;51693;GALAXY
1935342;1811187;1745305;1710616;1688711;39000000000000000000000;0.07115377;346;51693;GALAXY
1925923;1884224;1885939;1869218;1876842;38900000000000000000000;0.5894275;345;51690;QSO
1957255;1859834;1847911;1845792;1860459;3180000000000000000000;0.001135097;282;51658;STAR
1923879;1749932;1653521;1609223;1576121;38600000000000000000000;0.03969949;343;51692;GALAXY
1867422;1742511;1689116;1667803;1657392;38600000000000000000000;-0.000143192;343;51692;STAR
1883577;1725845;1654556;1613434;1583491;38800000000000000000000;0.07050942;345;51690;GALAXY
1761482;1569639;1477024;1431876;1395353;39000000000000000000000;0.0307668;346;51693;GALAXY
1941207;1888776;1856437;1858996;183926;39000000000000000000000;106284;346;51693;QSO
1899412;1790879;1746466;1728111;1720599;3900000000000000000000;-0.000178635;346;51693;STAR
1914963;1800378;174657;171376;1690036;39000000000000000000000;0.04402394;346;51693;GALAXY
187809;190767;1945117;1974457;2002123;39000000000000000000000;0.000609734;346;51693;STAR
1915965;1891703;1861517;1838544;1842006;39000000000000000000000;1496161;346;51693;QSO
1733854;1627237;1590035;1575182;1569667;39000000000000000000000;-0.000872277;346;51693;STAR
1938219;1820107;178056;174992;1741172;41000000000000000000000;0.06565089;364;52000;GALAXY
192266;1727751;1639126;1595711;1561498;41000000000000000000000;0.04565;364;52000;GALAXY
1941398;1729078;1633702;1587626;1548284;41000000000000000000000;0.04462435;364;52000;GALAXY
1919971;1722391;1629199;1585335;1548367;39000000000000000000000;0.04954444;346;51693;GALAXY
1894325;1702095;1606735;1563387;1528098;33700000000000000000000;0.08937013;299;51671;GALAXY
1888838;1788406;1742734;1712453;1698339;33700000000000000000000;0.08640119;299;51671;GALAXY
193652;181399;1765534;174715;1737664;33700000000000000000000;6.53E-05;299;51671;STAR
1946207;1781834;1701301;16617;1631902;33700000000000000000000;0.07104074;299;51671;GALAXY
1834066;165023;1564826;1526125;1495627;3370000000000000000000;0.07053274;299;51671;GALAXY
1886362;1787739;1746657;1717367;1704404;33700000000000000000000;0.06982873;299;51671;GALAXY
177933;1690408;166164;1630378;1630438;33700000000000000000000;0.08875664;299;51671;GALAXY
1914158;1799588;1753081;172301;1713721;3370000000000000000000;0.1066131;299;51671;GALAXY
1917263;1806068;176305;1733272;172204;3370000000000000000000;0.08685333;299;51671;GALAXY
1857808;1738363;1739016;1742856;1748906;3380000000000000000000;0.000784398;300;51943;STAR
1913297;1872812;1869815;1867673;1845058;455000000000000000000000;2270286;4043;55630;QSO
1922582;189224;1881053;1869143;1874117;33800000000000000000000;1452307;300;51943;QSO
1915242;1742991;1657173;1615933;1585434;3370000000000000000000;0.08845632;299;51671;GALAXY
1828101;1718856;1670175;1633173;1614626;33800000000000000000000;0.08813617;300;51943;GALAXY
1918844;1875792;1886976;1902108;1925434;3370000000000000000000;5.59E-05;299;51671;STAR
1914205;1796772;1745321;1709447;1688161;33700000000000000000000;0.088566;299;51671;GALAXY
1892986;1792031;1741597;1712756;1703521;33700000000000000000000;0.1484416;299;51671;GALAXY
186924;177664;1748753;1738595;1735225;455000000000000000000000;0.000224824;4043;55630;STAR
183738;1684218;1610014;1571413;1541793;3380000000000000000000;0.04749686;300;51943;GALAXY
1903027;1792062;1754537;1740652;1739518;33800000000000000000000;-1.12E-05;300;51943;STAR
1792943;1642391;1579249;1547063;1523182;3380000000000000000000;0.02614107;300;51943;GALAXY
17619;1661343;1647639;1642638;1643867;33800000000000000000000;0.000308748;300;51943;STAR
1685941;1583554;1577641;157712;1582794;33800000000000000000000;0.000129414;300;51943;STAR
1688578;1599562;156586;1551201;1547617;455000000000000000000000;2.77E-06;4043;55630;STAR
1585837;146398;14627;1465232;1471224;33800000000000000000000;0.000106044;300;51943;STAR
1811682;1777947;1787333;177141;1767043;33800000000000000000000;0.5148025;300;51943;QSO
1947647;1761476;1668962;1623929;1587438;33800000000000000000000;0.07854678;300;51943;GALAXY
1814094;1632733;1541508;1497462;1465088;455000000000000000000000;0.07823353;4040;55605;GALAXY
1919459;1831113;1809644;1783205;1775919;33800000000000000000000;0.05310636;300;51943;GALAXY
1953265;1815082;1743013;1702216;167586;33800000000000000000000;0.0927506;300;51943;GALAXY
1931942;1736549;1637918;1592805;1555104;33800000000000000000000;0.09100784;300;51943;GALAXY
1715698;1604984;156602;1551096;1547703;33800000000000000000000;-4.70E-05;300;51943;STAR
1913015;1899829;1869307;1862844;1867269;33800000000000000000000;1244108;300;51943;QSO
1947384;1802314;1721636;1678238;1643555;33800000000000000000000;0.1155662;300;51943;GALAXY
1714729;1585645;1521062;1484574;1452751;455000000000000000000000;0.02707425;4041;55361;GALAXY
1877788;1711622;1637415;1598126;1568712;3390000000000000000000;0.03762654;301;51942;GALAXY
1913621;1795535;1733129;169772;1674717;33900000000000000000000;0.1425752;301;51942;GALAXY
1890994;1766969;169995;1662222;1635383;33900000000000000000000;0.08791664;301;51942;GALAXY
1562121;1460897;1443487;1440072;1445437;33900000000000000000000;0.00010314;301;51942;STAR
1923039;1806944;1759436;1723812;1709449;33900000000000000000000;0.07908808;301;51942;GALAXY
1881291;1777027;1730868;1695996;168011;33900000000000000000000;0.07006504;301;51942;GALAXY
190146;1733462;1645423;1602605;1567589;3390000000000000000000;0.08909858;301;51942;GALAXY
1792018;1792471;17884;1762558;1753486;455000000000000000000000;1771222;4041;55361;QSO
1780781;1693552;1667188;1647706;163433;33900000000000000000000;0.02961222;301;51942;GALAXY
1823204;1645568;1563056;1519764;148788;33900000000000000000000;0.06956718;301;51942;GALAXY
1849833;1749403;1733157;1728345;1728941;33900000000000000000000;0.000322833;301;51942;STAR
1892958;1690914;1578403;1531554;1493797;33900000000000000000000;0.131564;301;51942;GALAXY
1907301;1811891;1776631;1765374;1760394;455000000000000000000000;-0.000162314;4037;55631;STAR
1915065;1736285;1652798;1615387;1580557;33900000000000000000000;0.10632;301;51942;GALAXY
1813147;173532;1693616;1656829;1644423;32400000000000000000000;0.1072231;288;52000;GALAXY
1854219;1749083;1707087;1671762;1657594;32400000000000000000000;0.1070803;288;52000;GALAXY
1953852;19139;1855866;1817328;1799881;32400000000000000000000;0.1572411;288;52000;QSO
1925762;1924938;189753;1888568;1891675;3240000000000000000000;1335835;288;52000;QSO
1789052;1698527;1673305;1663174;1661334;288000000000000000000000;7.54E-05;2558;54140;STAR
1871479;1697454;1638521;1612513;1590649;32400000000000000000000;0.106216;288;52000;GALAXY
1895637;1797179;1780977;1776273;1778803;288000000000000000000000;0.000359946;2558;54140;STAR
1825347;1734355;1712577;1702307;1696043;288000000000000000000000;0.000522862;2558;54140;STAR
1926136;191851;189592;1888952;1886333;32400000000000000000000;1330196;288;52000;QSO
1641278;1486871;1431287;1410415;1398788;288000000000000000000000;-0.000120691;2558;54140;STAR
1905024;1909565;1919766;1890488;188281;32400000000000000000000;1895719;288;52000;QSO
1897832;1810239;1781904;1771502;17695;288000000000000000000000;0.000433085;2558;54140;STAR
1870031;1783492;1757053;1745308;1740799;288000000000000000000000;-6.92E-05;2558;54140;STAR
1959163;1781984;1684598;1644592;1610031;3240000000000000000000;0.1062806;288;52000;GALAXY
160238;1509469;1480986;146965;146701;288000000000000000000000;0.000477176;2558;54140;STAR
151353;1394085;1394638;1400164;1403319;288000000000000000000000;0.000413841;2558;54140;STAR
